Xgeometry,Ygeometry,Zgeometry,Navn,Reduceret areal (ha),Bassinvolumen (m3),Udledningstype,Bygværkstype,Godkendelse myndighed,Ejer,Idriftsat,Nedlagt,Vandmængde (m3),Antal overløb,COD (kg),BI-5 (kg),Total-N (kg),Total-P (kg)
716134.9998,6189224.0037,NaN,Vi R12F,0,0,Overløbsbygværk uden bassin,OV,LYNGBY-TAARBÆK KOMMUNE,LYNGBY-TAARBÆK SPILDEVAND A/S (CVR 32292771),1900-01-01T00:00:00.0000000,Aktivt,0,0,0,0,0,0
725413.9998,6188215.0037,NaN,Ta R4,8.16,0,Overløbsbygværk uden bassin,OV,LYNGBY-TAARBÆK KOMMUNE,LYNGBY-TAARBÆK SPILDEVAND A/S (CVR 32292771),1900-01-01T00:00:00.0000000,Aktivt,0,0,0,0,0
718606.2644,6190922.5468,NaN,uc42000,7.27770005633638,0,Overløbsbygværk uden bassin,OV,Rudersdal kommune,Novafos Vand Rudersdal A/S (CVR 32940048),1900-01-01T00:00:00.0000000,Aktivt,16002,7,2880,480,191,32
717218.0351,6190453.0223,NaN,UC08000,1.03223815320314,0,Overløbsbygværk uden bassin,OV,Rudersdal kommune,Novafos Vand Rudersdal A/S (CVR 32940048),1900-01-01T00:00:00.0000000,Aktivt,528,12,95,16,6,1
721652.7824,6189871.6807,NaN,UF01001,16.1276746576887,0,Overløbsbygværk uden bassin,OV,Rudersdal kommune,Novafos Vand Rudersdal A/S (CVR 32940048),1900-01-01T00:00:00.0000000,Aktivt,17636,8,3174,528,211,35
718008.3829,6190736.3946,NaN,BAE0102,0.662633954860028,0,Overløbsbygværk uden bassin,OV,Rudersdal kommune,Novafos Vand Rudersdal A/S (CVR 32940048),1900-01-01T00:00:00.0000000,Aktivt,211,3,38,6,2,0
717311.3616,6190251.8333,NaN,U120155,1.12060039514886,0,Overløbsbygværk uden bassin,OV,Rudersdal kommune,Novafos Vand Rudersdal A/S (CVR 32940048),1900-01-01T00:00:00.0000000,Aktivt,0,0,0,0,0,0
716059.4445,6189475.8212,NaN,UA20000,2.60703897690249,0,Overløbsbygværk uden bassin,OV,Rudersdal kommune,Novafos Vand Rudersdal A/S (CVR 32940048),1900-01-01T00:00:00.0000000,Aktivt,1215,7,219,36,14,2
725228.9998,6188734.0037,NaN,Ta R6F,0.54,0,Overløbsbygværk uden bassin,OV,LYNGBY-TAARBÆK KOMMUNE,LYNGBY-TAARBÆK SPILDEVAND A/S (CVR 32292771),1900-01-01T00:00:00.0000000,Aktivt,0,0,0,0,0,0
724231.0685,6190808.23,NaN,UJ27000,0.0725630659020702,0,Overløbsbygværk uden bassin,OV,Rudersdal kommune,Novafos Vand Rudersdal A/S (CVR 32940048),1900-01-01T00:00:00.0000000,Aktivt,665,10,119,19,7,1
725192.9998,6188838.0037,NaN,Ta R7F,1.25,0,Overløbsbygværk uden bassin,OV,LYNGBY-TAARBÆK KOMMUNE,LYNGBY-TAARBÆK SPILDEVAND A/S (CVR 32292771),1900-01-01T00:00:00.0000000,Aktivt,21,2,4,1,0,0
724092.1837,6191142.7919,NaN,UJ25000,3.02628099353542,0,Overløbsbygværk uden bassin,OV,Rudersdal kommune,Novafos Vand Rudersdal A/S (CVR 32940048),1900-01-01T00:00:00.0000000,Aktivt,360,6,64,11,4,0
717076.5447,6189790.7771,NaN,A260011,1.74876584906795,0,Overløbsbygværk uden bassin,OV,Rudersdal kommune,Novafos Vand Rudersdal A/S (CVR 32940048),1900-01-01T00:00:00.0000000,Aktivt,0,0,0,0,0,0
714537.781,6191013.8482,NaN,A05E060,12.253303813545,0,Overløbsbygværk uden bassin,OV,Rudersdal kommune,Novafos Vand Rudersdal A/S (CVR 32940048),1900-01-01T00:00:00.0000000,Aktivt,6072,10,1092,182,72,12
717649.9998,6189376.0037,NaN,Vi R70,6.9,0,Overløbsbygværk uden bassin,OV,LYNGBY-TAARBÆK KOMMUNE,LYNGBY-TAARBÆK SPILDEVAND A/S (CVR 32292771),1900-01-01T00:00:00.0000000,Aktivt,511,12,92,15,6,1
716697.0957,6190963.9783,NaN,UA07001,4.95324681031932,0,Overløbsbygværk uden bassin,OV,Rudersdal kommune,Novafos Vand Rudersdal A/S (CVR 32940048),1900-01-01T00:00:00.0000000,Aktivt,1584,10,285,48,19,3
716095.9998,6187065.0037,NaN,Fr R,1.2,0,Overløbsbygværk uden bassin,OV,LYNGBY-TAARBÆK KOMMUNE,LYNGBY-TAARBÆK SPILDEVAND A/S (CVR 32292771),1900-01-01T00:00:00.0000000,Aktivt,1617,26,291,48,19,3
718120.9469,6189179.0516,NaN,PL-TK09,2.68330531368662,0,Overløbsbygværk uden bassin,OV,Rudersdal kommune,Novafos Vand Rudersdal A/S (CVR 32940048),1900-01-01T00:00:00.0000000,Aktivt,1242,10,223,37,15,2
